country	accession	aminoglycoside	bacitracin	bacteriocin	beta-lactam	biocide	bleomycin	colistin	defensin	fosfomycin	fosmidomycin	fusidic acid	glycopeptide	ionophore	linearmycin	macrolide-lincosamide-streptogramin	multidrug	nitroimidazole	novobiocin	phenicol	quinolone	rifamycin	streptothricin	sulfonamide	surfactin	tetracycline	trimethoprim	tunicamycin
SG	ERR7625329	0.1885704067948145	0.855592311130979	0.009977648636566831	0.0723504693786321	0.02125346446133214	0.0	0.003318730442556996	0.28540724184175237	0.0	0.0	0.0	0.024343316942333482	0.0	0.0	0.4716852928028609	0.05776307554760841	0.0	0.0	0.0377863209655789	0.0	0.0	0.003576218149307108	0.014165400089405453	0.0	0.5803486812695574	0.003490388913723737	0.0
SG	ERR7625330	0.2845679475164011	1.6040506091846298	0.5197132146204311	0.3632427366447985	0.5759493908153702	0.0	2.3501012183692596	0.15943017806935333	0.0883298969072165	0.23584254920337394	0.0	0.0	0.0	0.0	0.8760074976569822	7.811851921274602	0.0	0.0	0.16904592314901595	0.0	0.0	0.006603561387066542	0.0	0.0	0.598506091846298	0.01498406747891284	0.0
SG	ERR7625331	0.03108923076923077	0.9649582417582419	0.0	0.023627252747252744	0.0	0.0	0.04802813186813187	0.8546285714285714	0.01302857142857143	0.003474285714285714	0.0	0.0069591208791208795	0.0	0.0	0.10923252747252749	0.17061626373626373	0.0	0.0	0.1054945054945055	0.0	0.03760527472527473	0.0	0.00696967032967033	0.0	0.23050197802197805	0.0035164835164835165	0.0
SG	ERR7625332	0.11310437710437711	0.7651286195286195	0.02693961840628507	0.064603367003367	0.0053872053872053875	0.0	0.004336700336700337	0.242806734006734	0.008912233445566778	0.0019753086419753087	0.0	0.01827878787878788	0.0	0.0	0.17937239057239057	0.014247362514029182	0.0	0.0	0.009759820426487093	0.0	0.0017957351290684624	0.008917620650953985	0.00401705948372615	0.0	0.5944116722783389	0.014804040404040403	0.0
SG	ERR7625333	0.21319936349170265	0.9357581268470107	0.018615139804501024	0.01142441463969084	0.001798590588770175	0.0	0.02073016594680609	0.19162173221186632	0.0	0.0	0.0	0.003626278699704478	0.0	0.0	0.3117490338713344	0.04188042736985679	0.0	0.0	0.019653557626733348	0.0	0.0	0.0	0.005086610593316663	0.0	0.7366710616049102	0.06883928165492158	0.0
SG	ERR7625334	0.02772987574284171	0.7997824599315685	0.05129047361786422	0.17534449846929587	0.07748028092922744	0.0	0.2628863677291554	0.28436952998379256	0.0014406627048442284	0.03411921483882586	0.0	0.03033747523860976	0.0	0.0	0.46282730055825677	0.7020680713128039	0.0	0.0	0.014108409868539529	0.0	0.010011165135962544	0.0014406627048442284	0.0028496308301818834	0.0	0.8848953718710606	0.07362362686835944	0.0
SG	ERR7625335	0.12064955223880597	0.9843916417910448	0.02000716417910448	0.033002985074626866	0.07563940298507463	0.0	0.004757014925373134	0.03604537313432836	0.0	0.0	0.0	0.0	0.0	0.0	0.7676035820895523	0.025633432835820896	0.0	0.0	0.2072979104477612	0.0	0.0	0.0	0.020995820895522387	0.0	0.33648716417910446	0.004747462686567164	0.0
SG	ERR7625336	0.7029729381443298	1.0863234536082473	0.21605541237113401	0.10198195876288658	0.09469329896907218	0.0	0.2675528350515464	0.12545103092783505	0.05410051546391753	0.03703737113402062	0.0	0.06754123711340206	0.0	0.0	1.2802551546391754	1.0674690721649485	0.0	0.0	0.14346907216494845	0.0	0.015323453608247422	0.06674999999999999	0.0	0.0	1.3975515463917525	0.0626958762886598	0.0
SG	ERR7625337	0.03128157046586581	0.9775036624670379	0.03342748315265162	0.035657779079988274	0.009096982127160856	0.0	0.003383533548198066	0.13113741576325813	0.005825959566363903	0.0017322004101963083	0.0	0.019614415470260767	0.0	0.0	0.08023322590096689	0.05168004687957808	0.0	0.0	0.2671210079109288	0.0	0.0011719894520949312	0.0	0.006801054790506886	0.0	0.38884383240550835	0.039575739818341636	0.0
SG	ERR7625338	0.020610933100300998	0.5624538304689776	0.02755685017962909	0.010036702592484707	0.011842703175065541	0.0	0.0015426740460238858	0.1484314982037091	0.003101660355374308	0.0	0.0	0.10737896883192542	0.0	0.0	0.021260316535585976	0.002738129915525779	0.0007767744441207885	0.0	0.0007022040974851928	0.0	0.0	0.0	0.0	0.0	0.6288455189824256	0.0029641712787649285	0.0
SG	ERR7625339	0.10428194993412385	0.6357505489679403	0.07658410188844972	0.3735309617918313	0.09570136144049186	0.0	0.33425911286780857	0.010068511198945982	0.0034334650856389986	0.033748792270531396	0.0	0.06919806763285023	0.0	0.0	0.49491523935002196	0.940314448836188	0.0	0.0	0.0069424681598594645	0.0017364953886693018	0.002551602986385595	0.0017321036451471235	0.033394817742643836	0.0	0.8081730346947739	0.027795344751866492	0.0
SG	ERR7625340	0.16745086119554206	0.8034042553191489	0.0019432624113475178	0.24010334346504558	0.04937791286727457	0.0	0.008807497467071934	0.44059371833839917	0.0009868287740628166	0.0	0.0	0.03015096251266464	0.0	0.0	0.5704984802431611	0.04918946301925025	0.0	0.0	0.0	0.0	0.02035258358662614	0.003005065856129686	0.0	0.0	0.7028561296859168	0.019826747720364746	0.0
SG	ERR7625341	0.021302823399151134	0.6541059236021406	0.05290717844620778	0.2686045395829489	0.04142756966229932	0.0	0.1238870640339546	0.04613840191917328	0.004365381066617457	0.003581472596420004	0.0	0.07318545857169219	0.0	0.0	0.5488865104262779	0.3827008673186935	0.002796087839084702	0.0	0.010083041151503968	0.0	0.02169108691640524	0.0	0.0	0.0	0.8752625945746447	0.1516427385126407	0.0
SG	ERR7625342	0.3463738647146537	0.8027241426053952	0.030952419682797883	0.2380870272468483	0.03431205096922869	0.0	0.09824589941710722	0.2681144096516199	0.0053929781754100585	0.014385251457231936	0.0	0.025205910261623964	0.0	0.0	1.2633092042835843	0.4976169174461163	0.02871628033075776	0.0	0.009491121051918124	0.0	0.0032457638606479596	0.003246848312322082	0.0010844516741222718	0.0	1.0253642402060459	0.04736559577063847	0.0
