purity	size
1.0	1
1.0	224
1.0	1
1.0	1
1.0	168
1.0	1
1.0	86
1.0	1
1.0	206
1.0	1
1.0	76
1.0	61
1.0	1
1.0	167
1.0	83
1.0	57
1.0	1
1.0	1
1.0	136
1.0	1
1.0	86
1.0	67
1.0	1
1.0	69
1.0	1
1.0	88
1.0	83
1.0	50
1.0	58
1.0	56
1.0	80
1.0	1
1.0	56
1.0	62
1.0	79
1.0	60
1.0	1
1.0	76
1.0	56
1.0	73
1.0	1
1.0	63
1.0	56
1.0	58
1.0	56
1.0	1
1.0	1
1.0	101
1.0	1
1.0	74
1.0	100
1.0	83
1.0	53
1.0	53
1.0	110
1.0	1
1.0	100
1.0	82
1.0	1
1.0	1
1.0	1
1.0	80
1.0	68
1.0	1
1.0	1
1.0	1
1.0	86
1.0	58
1.0	56
1.0	70
1.0	74
1.0	63
1.0	1
1.0	100
1.0	98
1.0	80
1.0	1
1.0	1
1.0	77
1.0	1
1.0	1
1.0	74
1.0	85
1.0	1
1.0	87
1.0	1
1.0	141
1.0	1
1.0	72
1.0	1
1.0	1
1.0	45
1.0	1
1.0	74
1.0	139
1.0	62
1.0	66
1.0	63
1.0	1
1.0	51
1.0	1
1.0	75
1.0	1
