purity	size
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	129
1.0	1
1.0	1
1.0	1
1.0	1
1.0	169
1.0	209
1.0	1
1.0	1
1.0	144
1.0	1
1.0	1
1.0	1
1.0	1
1.0	164
1.0	1
1.0	217
1.0	1
1.0	1
1.0	1
1.0	366
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	343
1.0	254
1.0	1
1.0	1
1.0	228
1.0	1
1.0	1
1.0	1
1.0	1
1.0	183
1.0	1
1.0	1
1.0	1
1.0	294
1.0	1
1.0	1
1.0	1
1.0	1
1.0	119
1.0	1
1.0	1
1.0	135
1.0	1
1.0	1
1.0	1
1.0	1
1.0	151
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	299
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	213
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	262
1.0	1
1.0	10
1.0	1
1.0	1
1.0	1
1.0	1
1.0	233
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	4
1.0	1
1.0	1
1.0	2
1.0	1
1.0	319
1.0	198
1.0	1
1.0	1
1.0	3
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	2
1.0	1
1.0	2
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	697
1.0	1
1.0	1
1.0	127
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	636
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	185
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	321
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	114
1.0	1
1.0	1
1.0	1
1.0	1
1.0	114
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	2
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	269
1.0	1
1.0	1
1.0	1
1.0	1
1.0	2
1.0	1
1.0	1
1.0	1
1.0	241
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	132
1.0	1
1.0	1
1.0	1
1.0	1
1.0	111
1.0	2
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	4
1.0	1
1.0	291
1.0	195
1.0	118
1.0	1
1.0	145
1.0	1
1.0	241
1.0	1
1.0	1
1.0	112
1.0	120
1.0	1
1.0	78
1.0	1
1.0	214
1.0	1
1.0	1
1.0	122
1.0	1
1.0	123
1.0	114
1.0	115
1.0	95
1.0	1
1.0	101
1.0	125
1.0	1
1.0	116
1.0	1
1.0	1
1.0	99
1.0	1
1.0	270
1.0	1
1.0	102
1.0	1
1.0	1
1.0	98
1.0	1
1.0	1
1.0	136
1.0	377
1.0	347
1.0	1
1.0	1
1.0	328
1.0	1
1.0	1
1.0	1
1.0	272
1.0	1
1.0	1
1.0	1
1.0	1
1.0	150
1.0	245
1.0	1
1.0	1
1.0	1
1.0	1
1.0	124
1.0	1
1.0	1
1.0	146
1.0	121
1.0	1
1.0	1
1.0	175
1.0	218
1.0	127
1.0	1
1.0	1
1.0	1
1.0	1
1.0	187
1.0	1
1.0	139
1.0	1
1.0	1
1.0	120
1.0	108
1.0	1
1.0	1
1.0	1
1.0	1
1.0	215
1.0	1
