species	type	subtype	carrier	cnt
Acinetobacter baumannii	aminoglycoside	ant(3'')-II	chromosome	1.0
Acinetobacter baumannii	bacitracin	bacA	chromosome	1.0
Acinetobacter baumannii	beta-lactam	blaADC	chromosome	1.0
Acinetobacter baumannii	beta-lactam	blaOXA	chromosome	1.0
Acinetobacter baumannii	biocide	aceI	chromosome	1.0
Acinetobacter baumannii	fosfomycin	abaF	chromosome	1.0
Acinetobacter baumannii	macrolide-lincosamide-streptogramin	macA	chromosome	1.0
Acinetobacter baumannii	macrolide-lincosamide-streptogramin	macB	chromosome	1.0
Acinetobacter baumannii	multidrug	abaQ	chromosome	1.0
Acinetobacter baumannii	multidrug	abeM	chromosome	1.0
Acinetobacter baumannii	multidrug	abeS	chromosome	1.0
Acinetobacter baumannii	multidrug	adeA	chromosome	1.0
Acinetobacter baumannii	multidrug	adeB	chromosome	1.0
Acinetobacter baumannii	multidrug	adeF	chromosome	1.0
Acinetobacter baumannii	multidrug	adeG	chromosome	1.0
Acinetobacter baumannii	multidrug	adeH	chromosome	1.0
Acinetobacter baumannii	multidrug	adeI	chromosome	1.0
Acinetobacter baumannii	multidrug	adeJ	chromosome	1.0
Acinetobacter baumannii	multidrug	adeK	chromosome	1.0
Acinetobacter baumannii	multidrug	adeT	chromosome	2.0
Acinetobacter baumannii	multidrug	amvA	chromosome	1.0
Acinetobacter baumannii	phenicol	craA	chromosome	1.0
Acinetobacter baumannii	phenicol	cxpE	chromosome	1.0
Acinetobacter baumannii	sulfonamide	sul2	plasmid	1.0
Bacillus pacificus	bacitracin	bacA	chromosome	1.0
Bacillus pacificus	beta-lactam	bla1	chromosome	1.0
Bacillus pacificus	beta-lactam	bla2	chromosome	1.0
Bacillus pacificus	defensin	dltA	chromosome	1.0
Bacillus pacificus	defensin	dltB	chromosome	1.0
Bacillus pacificus	defensin	dltC	chromosome	1.0
Bacillus pacificus	defensin	dltD	chromosome	2.0
Bacillus pacificus	defensin	mprF	chromosome	1.0
Bacillus pacificus	fosfomycin	fosB	chromosome	1.0
Bacillus pacificus	macrolide-lincosamide-streptogramin	vat*	chromosome	1.0
Bacillus pacificus	phenicol	catA	chromosome	1.0
Bacillus pacificus	streptothricin	satA	chromosome	1.0
Bacillus pacificus	tetracycline	tet*	chromosome	1.0
Bifidobacterium adolescentis	bacitracin	bacA	chromosome	1.0
