species	subtype	cnt	genome	est
Bacillus spizizenii	arr	1.0	109.5	0.981
Bacillus spizizenii	bacA	1.0	109.5	0.71
Bacillus spizizenii	bceA	1.0	109.5	0.809
Bacillus spizizenii	bceB	1.0	109.5	0.807
Bacillus spizizenii	bcrC	1.0	109.5	1.245
Bacillus spizizenii	bla*	2.0	109.5	1.827
Bacillus spizizenii	bmr1	1.0	109.5	0.682
Bacillus spizizenii	bmr3	1.0	109.5	0.958
Bacillus spizizenii	bmrA	1.0	109.5	1.147
Bacillus spizizenii	bmrC	1.0	109.5	0.925
Bacillus spizizenii	bmrD	1.0	109.5	1.002
Bacillus spizizenii	dltA	1.0	109.5	1.144
Bacillus spizizenii	dltB	1.0	109.5	1.19
Bacillus spizizenii	dltC	1.0	109.5	1.136
Bacillus spizizenii	dltD	1.0	109.5	1.163
Bacillus spizizenii	ebrA	1.0	109.5	0.595
Bacillus spizizenii	ebrB	1.0	109.5	0.627
Bacillus spizizenii	fosM	1.0	109.5	0.543
Bacillus spizizenii	lmr(B)	1.0	109.5	0.844
Bacillus spizizenii	lnrL	1.0	109.5	0.833
Bacillus spizizenii	lnrM	1.0	109.5	0.803
Bacillus spizizenii	mph(K)	1.0	109.5	0.908
Bacillus spizizenii	mprF	1.0	109.5	0.906
Bacillus spizizenii	psdA	1.0	109.5	0.937
Bacillus spizizenii	psdB	1.0	109.5	0.981
Bacillus spizizenii	srfP	1.0	109.5	1.014
Bacillus spizizenii	tmrB	1.0	109.5	0.836
Bacillus spizizenii	vmlR	1.0	109.5	0.96
Bacillus spizizenii	ykkC	1.0	109.5	0.813
Bacillus spizizenii	ykkD	1.0	109.5	0.829
Bacillus spizizenii	yxdL	1.0	109.5	1.086
Bacillus spizizenii	yxdM	1.0	109.5	1.018
Enterococcus faecalis	bacA	1.0	124.125	0.924
Enterococcus faecalis	dltA	1.0	124.125	0.976
Enterococcus faecalis	dltB	1.0	124.125	1.014
Enterococcus faecalis	dltC	1.0	124.125	0.963
Enterococcus faecalis	dltD	1.0	124.125	0.997
Enterococcus faecalis	efrA	1.0	124.125	1.01
Enterococcus faecalis	efrB	1.0	124.125	0.972
Enterococcus faecalis	efrC	1.0	124.125	0.84
Enterococcus faecalis	efrD	1.0	124.125	0.87
Enterococcus faecalis	efrE	1.0	124.125	0.953
Enterococcus faecalis	efrF	1.0	124.125	0.97
Enterococcus faecalis	emeA	1.0	124.125	0.814
Enterococcus faecalis	lsa(A)	1.0	124.125	1.169
Enterococcus faecalis	mprF	2.0	124.125	1.859
Escherichia coli	acrA	1.0	107.25	0.918
Escherichia coli	acrB	1.0	107.25	0.954
Escherichia coli	acrD	1.0	107.25	0.945
Escherichia coli	acrE	1.0	107.25	1.191
Escherichia coli	acrF	1.0	107.25	1.163
Escherichia coli	arnA	1.0	107.25	1.031
Escherichia coli	arnB	1.0	107.25	1.062
Escherichia coli	arnC	1.0	107.25	1.048
Escherichia coli	arnD	1.0	107.25	1.088
Escherichia coli	arnE	1.0	107.25	1.045
Escherichia coli	arnF	1.0	107.25	0.989
Escherichia coli	arnT	1.0	107.25	1.063
Escherichia coli	bacA	2.0	107.25	2.044
Escherichia coli	bcr	1.0	107.25	0.878
Escherichia coli	blaEC	1.0	107.25	1.35
Escherichia coli	cbrA	1.0	107.25	0.99
Escherichia coli	dinF	1.0	107.25	1.08
Escherichia coli	emrD	1.0	107.25	0.93
Escherichia coli	emrK	1.0	107.25	0.852
Escherichia coli	emrY	1.0	107.25	0.871
Escherichia coli	eptA	1.0	107.25	0.958
Escherichia coli	eptB	1.0	107.25	1.041
Escherichia coli	fsr	1.0	107.25	1.163
Escherichia coli	macA	1.0	107.25	0.812
Escherichia coli	macB	1.0	107.25	0.843
Escherichia coli	mdfA	2.0	107.25	2.087
Escherichia coli	mdtA	1.0	107.25	0.897
Escherichia coli	mdtB	1.0	107.25	0.805
Escherichia coli	mdtC	1.0	107.25	0.933
Escherichia coli	mdtE	1.0	107.25	0.872
Escherichia coli	mdtF	1.0	107.25	0.882
Escherichia coli	mdtG	1.0	107.25	0.926
Escherichia coli	mdtH	1.0	107.25	1.064
Escherichia coli	mdtI	1.0	107.25	0.897
Escherichia coli	mdtJ	1.0	107.25	0.907
Escherichia coli	mdtK	1.0	107.25	1.015
Escherichia coli	mdtL	1.0	107.25	0.913
Escherichia coli	mdtM	1.0	107.25	1.022
Escherichia coli	mdtO	1.0	107.25	1.385
Escherichia coli	mdtP	1.0	107.25	0.933
Escherichia coli	mdtQ	1.0	107.25	1.012
Escherichia coli	smdA	1.0	107.25	0.967
Escherichia coli	sugE	1.0	107.25	2.175
Escherichia coli	tolC	1.0	107.25	0.903
Escherichia coli	ugd	1.0	107.25	0.959
Escherichia coli	yojI	1.0	107.25	0.983
Limosilactobacillus fermentum	bacA	1.0	170.0	0.884
Limosilactobacillus fermentum	dltA	1.0	170.0	1.155
Limosilactobacillus fermentum	dltB	1.0	170.0	1.069
Limosilactobacillus fermentum	dltC	1.0	170.0	1.052
Limosilactobacillus fermentum	dltD	1.0	170.0	1.107
Limosilactobacillus fermentum	mprF	1.0	170.0	1.064
Listeria monocytogenes	dltA	1.0	126.375	0.704
Listeria monocytogenes	dltB	1.0	126.375	0.732
Listeria monocytogenes	dltC	1.0	126.375	0.736
Listeria monocytogenes	dltD	1.0	126.375	0.752
Listeria monocytogenes	fepA	1.0	126.375	1.204
Listeria monocytogenes	fosX	1.0	126.375	1.064
Listeria monocytogenes	lde	1.0	126.375	1.13
Listeria monocytogenes	lieA	1.0	126.375	0.87
Listeria monocytogenes	lieB	1.0	126.375	0.854
Listeria monocytogenes	mdrL	1.0	126.375	0.817
Listeria monocytogenes	mdrM	1.0	126.375	0.858
Listeria monocytogenes	mdrT	1.0	126.375	0.776
Listeria monocytogenes	mprF	1.0	126.375	0.913
Listeria monocytogenes	rph*	1.0	126.375	1.0
Listeria monocytogenes	sugE	2.0	126.375	1.814
Listeria monocytogenes	vga(G)	1.0	126.375	0.851
Listeria monocytogenes	virA	1.0	126.375	0.94
Listeria monocytogenes	virB	1.0	126.375	0.92
Pseudomonas aeruginosa	aph(3')-II	1.0	76.625	0.899
Pseudomonas aeruginosa	arnA	1.0	76.625	0.986
Pseudomonas aeruginosa	arnB	1.0	76.625	0.994
Pseudomonas aeruginosa	arnC	1.0	76.625	0.994
Pseudomonas aeruginosa	arnD	1.0	76.625	0.967
Pseudomonas aeruginosa	arnF	1.0	76.625	0.973
Pseudomonas aeruginosa	arnT	1.0	76.625	1.006
Pseudomonas aeruginosa	bacA	1.0	76.625	1.041
Pseudomonas aeruginosa	blaOXA	1.0	76.625	0.976
Pseudomonas aeruginosa	blaPDC	1.0	76.625	0.803
Pseudomonas aeruginosa	catB	1.0	76.625	0.725
Pseudomonas aeruginosa	cprA	1.0	76.625	0.735
Pseudomonas aeruginosa	fosA	1.0	76.625	0.83
Pseudomonas aeruginosa	macB	1.0	76.625	1.021
Pseudomonas aeruginosa	mdtI	1.0	76.625	0.802
Pseudomonas aeruginosa	mdtJ	1.0	76.625	0.845
Pseudomonas aeruginosa	mexA	1.0	76.625	0.95
Pseudomonas aeruginosa	mexB	1.0	76.625	0.996
Pseudomonas aeruginosa	mexC	1.0	76.625	0.928
Pseudomonas aeruginosa	mexD	1.0	76.625	0.952
Pseudomonas aeruginosa	mexE	1.0	76.625	0.924
Pseudomonas aeruginosa	mexF	1.0	76.625	0.862
Pseudomonas aeruginosa	mexH	1.0	76.625	0.788
Pseudomonas aeruginosa	mexI	1.0	76.625	0.814
Pseudomonas aeruginosa	mexJ	1.0	76.625	1.194
Pseudomonas aeruginosa	mexK	1.0	76.625	1.188
Pseudomonas aeruginosa	mexM	1.0	76.625	0.912
Pseudomonas aeruginosa	mexN	1.0	76.625	0.899
Pseudomonas aeruginosa	mexP	1.0	76.625	0.964
Pseudomonas aeruginosa	mexQ	1.0	76.625	0.951
Pseudomonas aeruginosa	mexV	1.0	76.625	0.837
Pseudomonas aeruginosa	mexW	1.0	76.625	0.859
Pseudomonas aeruginosa	mexX	1.0	76.625	0.871
Pseudomonas aeruginosa	mexY	1.0	76.625	0.872
Pseudomonas aeruginosa	mprF	1.0	76.625	0.815
Pseudomonas aeruginosa	muxA	1.0	76.625	0.907
Pseudomonas aeruginosa	muxB	1.0	76.625	0.903
Pseudomonas aeruginosa	muxC	1.0	76.625	0.832
Pseudomonas aeruginosa	opmB	1.0	76.625	0.81
Pseudomonas aeruginosa	opmD	1.0	76.625	0.807
Pseudomonas aeruginosa	opmE	1.0	76.625	0.93
Pseudomonas aeruginosa	opmH	1.0	76.625	0.806
Pseudomonas aeruginosa	oprJ	1.0	76.625	0.959
Pseudomonas aeruginosa	oprM	1.0	76.625	0.914
Pseudomonas aeruginosa	oprN	1.0	76.625	0.792
Pseudomonas aeruginosa	pmpM	1.0	76.625	0.878
Pseudomonas aeruginosa	sugE	2.0	76.625	1.561
Pseudomonas aeruginosa	triA	1.0	76.625	0.988
Pseudomonas aeruginosa	triB	1.0	76.625	0.966
Pseudomonas aeruginosa	triC	1.0	76.625	0.977
Pseudomonas aeruginosa	ugd	2.0	76.625	1.8
Salmonella enterica	aac(6')-I	1.0	114.75	0.561
Salmonella enterica	acrA	1.0	114.75	0.877
Salmonella enterica	acrB	1.0	114.75	0.836
Salmonella enterica	acrD	1.0	114.75	0.871
Salmonella enterica	arnA	1.0	114.75	0.804
Salmonella enterica	arnB	1.0	114.75	0.829
Salmonella enterica	arnC	1.0	114.75	0.839
Salmonella enterica	arnD	1.0	114.75	0.838
Salmonella enterica	arnE	1.0	114.75	0.86
Salmonella enterica	arnF	1.0	114.75	0.879
Salmonella enterica	arnT	1.0	114.75	0.883
Salmonella enterica	bacA	2.0	114.75	1.845
Salmonella enterica	bcr	1.0	114.75	0.86
Salmonella enterica	dinF	1.0	114.75	0.909
Salmonella enterica	emrA	1.0	114.75	0.938
Salmonella enterica	emrB	1.0	114.75	0.897
Salmonella enterica	emrD	1.0	114.75	1.041
Salmonella enterica	eptA	1.0	114.75	0.911
Salmonella enterica	eptB	1.0	114.75	1.009
Salmonella enterica	fsr	1.0	114.75	1.075
Salmonella enterica	macA	1.0	114.75	0.849
Salmonella enterica	macB	1.0	114.75	0.881
Salmonella enterica	mdfA	1.0	114.75	0.923
Salmonella enterica	mdsA	1.0	114.75	0.816
Salmonella enterica	mdsB	1.0	114.75	0.943
Salmonella enterica	mdsC	1.0	114.75	0.845
Salmonella enterica	mdtA	1.0	114.75	0.777
Salmonella enterica	mdtB	1.0	114.75	0.748
Salmonella enterica	mdtC	1.0	114.75	0.786
Salmonella enterica	mdtG	1.0	114.75	0.873
Salmonella enterica	mdtH	1.0	114.75	0.794
Salmonella enterica	mdtI	1.0	114.75	0.828
Salmonella enterica	mdtJ	1.0	114.75	0.818
Salmonella enterica	mdtK	1.0	114.75	0.774
Salmonella enterica	mdtL	1.0	114.75	0.84
Salmonella enterica	mdtM	1.0	114.75	0.867
Salmonella enterica	mdtQ	1.0	114.75	1.115
Salmonella enterica	smdA	1.0	114.75	1.001
Salmonella enterica	smdB	1.0	114.75	0.257
Salmonella enterica	smvA	1.0	114.75	0.769
Salmonella enterica	sugE	1.0	0.0	0.0
Salmonella enterica	tolC	1.0	114.75	1.028
Salmonella enterica	ugd	1.0	114.75	0.807
Salmonella enterica	yojI	1.0	114.75	0.813
Staphylococcus aureus	abcA	1.0	139.875	1.031
Staphylococcus aureus	ant(4')-I	1.0	139.875	4.074999999999999
Staphylococcus aureus	bacA	1.0	139.875	1.073
Staphylococcus aureus	blaZ	1.0	139.875	0.888
Staphylococcus aureus	dltA	1.0	139.875	0.948
Staphylococcus aureus	dltB	1.0	139.875	0.999
Staphylococcus aureus	dltC	1.0	139.875	0.963
Staphylococcus aureus	dltD	1.0	139.875	0.945
Staphylococcus aureus	farE	1.0	139.875	0.961
Staphylococcus aureus	fosB	1.0	139.875	1.044
Staphylococcus aureus	lmrS	1.0	139.875	0.986
Staphylococcus aureus	mdeA	1.0	139.875	0.997
Staphylococcus aureus	mepA	1.0	139.875	1.075
Staphylococcus aureus	mprF	1.0	139.875	0.961
Staphylococcus aureus	norA	1.0	139.875	1.079
Staphylococcus aureus	norB	1.0	139.875	1.08
Staphylococcus aureus	norC	1.0	139.875	0.932
Staphylococcus aureus	pmtA	1.0	139.875	0.935
Staphylococcus aureus	pmtB	1.0	139.875	0.921
Staphylococcus aureus	pmtC	1.0	139.875	0.904
Staphylococcus aureus	pmtD	1.0	139.875	0.923
Staphylococcus aureus	qacG	1.0	139.875	0.034
Staphylococcus aureus	sdrM	1.0	139.875	1.051
Staphylococcus aureus	sepA	1.0	139.875	1.003
Staphylococcus aureus	tet(38)	1.0	139.875	1.144
Staphylococcus aureus	tet(L)	1.0	139.875	3.658
Staphylococcus aureus	vraD	1.0	139.875	1.021
Staphylococcus aureus	vraE	1.0	139.875	1.046
Bacillus spizizenii	ant(4')-I	0.0	109.5	0.009
Bacillus spizizenii	bmr2	0.0	109.5	0.028
Bacillus spizizenii	fosB	0.0	109.5	0.08
Bacillus spizizenii	lnrN	0.0	109.5	0.833
Bacillus spizizenii	mdtH	0.0	109.5	0.009
Bacillus spizizenii	mdtJ	0.0	109.5	0.009
Bacillus spizizenii	mdtK	0.0	109.5	0.009
Enterococcus faecalis	tet(L)	0.0	124.125	0.007
Escherichia coli	bla*	0.0	107.25	0.009
Escherichia coli	emmdR	0.0	107.25	0.018
Escherichia coli	mdtN	0.0	107.25	0.974
Escherichia coli	mexY	0.0	107.25	0.008
Escherichia coli	norC	0.0	107.25	0.009
Escherichia coli	opmD	0.0	107.25	0.009
Escherichia coli	smdB	0.0	107.25	0.102
Escherichia coli	srfP	0.0	107.25	0.009
Listeria monocytogenes	bla*	0.0	126.375	0.008
Listeria monocytogenes	macA	0.0	126.375	0.008
Listeria monocytogenes	macB	0.0	126.375	0.008
Pseudomonas aeruginosa	dltA	0.0	76.625	0.013
Pseudomonas aeruginosa	emrD	0.0	76.625	0.003
Pseudomonas aeruginosa	mdsB	0.0	76.625	0.029
Pseudomonas aeruginosa	smdA	0.0	76.625	0.013
Staphylococcus aureus	aac(6')-I	0.0	139.875	0.007
Staphylococcus aureus	fosY	0.0	139.875	0.001
Staphylococcus aureus	mdtK	0.0	139.875	0.007
