p	r	filename	type
0.9015151515151515	0.99581589958159	d6300	subtype
0.9634146341463414	0.5563380281690141	d6331	subtype
0.9779735682819384	0.9327731092436975	msa1003	subtype
0.9017094017094017	1.0	msa2006	subtype
0.9384615384615385	1.0	d6300	type
1.0	0.6521739130434783	d6331	type
0.9876543209876543	0.9302325581395349	msa1003	type
0.9649122807017544	1.0	msa2006	type
