r	p	filename	type
0.7005588640254597	2.005313380908896e-40	d6300	subtype
0.10264462994284657	0.219238645632221	d6331	subtype
0.31644730254664544	4.464470935273745e-07	msa1003	subtype
0.6546463367756891	2.1948957422101413e-30	msa2006	subtype
0.9904122425518684	7.0047537583469225e-56	d6300	type
0.6724674165309933	3.0814039449475793e-07	d6331	type
0.9814818252507868	1.6544513254015093e-63	msa1003	type
0.9762290773310146	3.285864450958497e-38	msa2006	type
