species	subtype	cnt	genome	est
Salmonella enterica	smdA	1.0	101.5	0.923
Salmonella enterica	smdB	1.0	101.5	0.2
Salmonella enterica	smvA	1.0	101.5	0.669
Salmonella enterica	sugE	1.0	101.5	0.817
Salmonella enterica	tolC	1.0	101.5	1.016
Salmonella enterica	ugd	1.0	101.5	0.919
Salmonella enterica	yojI	1.0	101.5	0.899
Yersinia enterocolitica	acrA	1.0	282.25	0.775
Yersinia enterocolitica	acrB	1.0	282.25	0.848
Yersinia enterocolitica	acrD	1.0	282.25	0.836
Yersinia enterocolitica	arnA	1.0	282.25	0.77
Yersinia enterocolitica	arnB	1.0	282.25	0.77
Yersinia enterocolitica	arnC	1.0	282.25	0.76
Yersinia enterocolitica	arnD	1.0	282.25	0.73
Yersinia enterocolitica	arnE	1.0	282.25	0.629
Yersinia enterocolitica	arnF	1.0	282.25	0.62
Yersinia enterocolitica	arnT	1.0	282.25	0.747
Yersinia enterocolitica	bacA	2.0	282.25	1.91
Yersinia enterocolitica	bla*	1.0	282.25	0.813
Yersinia enterocolitica	blaA	1.0	282.25	0.665
Yersinia enterocolitica	emrA	1.0	282.25	0.899
Yersinia enterocolitica	emrB	1.0	282.25	0.869
Yersinia enterocolitica	emrD	1.0	282.25	1.137
Yersinia enterocolitica	eptA	1.0	282.25	0.631
Yersinia enterocolitica	eptB	1.0	282.25	1.047
Yersinia enterocolitica	macA	1.0	282.25	0.786
Yersinia enterocolitica	macB	2.0	282.25	1.617
Yersinia enterocolitica	mdtC	1.0	282.25	0.869
Yersinia enterocolitica	mdtG	1.0	282.25	0.771
Yersinia enterocolitica	mdtH	1.0	282.25	0.768
Yersinia enterocolitica	mdtI	1.0	282.25	0.737
Yersinia enterocolitica	mdtJ	1.0	282.25	0.746
Yersinia enterocolitica	mdtN	1.0	282.25	0.935
Yersinia enterocolitica	rosA	1.0	282.25	0.815
Yersinia enterocolitica	rosB	1.0	282.25	0.874
Yersinia enterocolitica	smdA	1.0	282.25	0.98
Yersinia enterocolitica	smdB	1.0	282.25	0.859
Yersinia enterocolitica	smvA	1.0	282.25	0.825
Yersinia enterocolitica	sugE	1.0	282.25	1.081
Yersinia enterocolitica	tolC	1.0	282.25	1.026
Yersinia enterocolitica	vat(F)	1.0	282.25	0.629
Bacteroides fragilis	bla*	0.0	620.125	0.0
Clostridioides difficile	cepA	0.0	1096.75	0.001
Clostridioides difficile	dltA	0.0	1096.75	0.922
Clostridioides difficile	mprF	0.0	1096.75	0.0
Enterobacter cloacae	bcr	0.0	121.625	0.041
Enterobacter cloacae	blaACT	0.0	121.625	0.003
Enterobacter cloacae	eefA	0.0	121.625	0.054
Enterobacter cloacae	eefB	0.0	121.625	0.061
Enterobacter cloacae	mdtA	0.0	121.625	0.636
Enterobacter cloacae	mdtB	0.0	121.625	0.685
Enterococcus faecalis	mdtQ	0.0	172.0	0.004
Escherichia coli	emmdR	0.0	53.875	0.037
Escherichia coli	mdtN	0.0	53.875	0.786
Escherichia coli	rosB	0.0	53.875	0.095
Escherichia coli	smdB	0.0	53.875	0.257
Helicobacter pylori	bacA	0.0	150.875	0.007
Salmonella enterica	acrE	0.0	101.5	0.01
Salmonella enterica	acrF	0.0	101.5	0.001
Salmonella enterica	kexD	0.0	101.5	0.077
Salmonella enterica	rosB	0.0	101.5	0.05
Yersinia enterocolitica	bexA	0.0	282.25	0.004
Yersinia enterocolitica	dltC	0.0	282.25	0.004
Yersinia enterocolitica	mdtA	0.0	282.25	0.003
Yersinia enterocolitica	mdtB	0.0	282.25	0.479
Yersinia enterocolitica	mdtK	0.0	282.25	0.004
Yersinia enterocolitica	sdeX	0.0	282.25	0.0
