species	subtype	cnt	genome	est
Bacteroides fragilis	cepA	1.0	620.125	1.053
Bifidobacterium adolescentis	bacA	1.0	27.0	1.354
Clostridioides difficile	bacA	2.0	1096.75	2.056
Clostridioides difficile	blaCDD	1.0	1096.75	1.108
Clostridioides difficile	cdeA	1.0	1096.75	0.901
Clostridioides difficile	cme	1.0	1096.75	1.191
Clostridioides difficile	cplR	1.0	1096.75	0.898
Clostridioides difficile	dltB	1.0	1096.75	1.073
Clostridioides difficile	dltC	1.0	1096.75	1.054
Clostridioides difficile	dltD	1.0	1096.75	1.045
Clostridioides difficile	nimB	1.0	1096.75	0.88
Clostridioides difficile	sugE	1.0	1096.75	1.111
Clostridioides difficile	vanG	1.0	1096.75	0.814
Clostridioides difficile	vanT	1.0	1096.75	0.81
Enterobacter cloacae	acrA	1.0	121.625	0.876
Enterobacter cloacae	acrB	1.0	121.625	0.953
Enterobacter cloacae	acrD	1.0	121.625	0.7
Enterobacter cloacae	arnA	1.0	121.625	0.94
Enterobacter cloacae	arnB	1.0	121.625	0.989
Enterobacter cloacae	arnC	1.0	121.625	0.979
Enterobacter cloacae	arnD	1.0	121.625	0.927
Enterobacter cloacae	arnE	1.0	121.625	0.843
Enterobacter cloacae	arnF	1.0	121.625	0.847
Enterobacter cloacae	arnT	1.0	121.625	0.904
Enterobacter cloacae	bacA	2.0	121.625	1.677
Enterobacter cloacae	blaCMH	1.0	121.625	0.977
Enterobacter cloacae	dinF	1.0	121.625	1.024
Enterobacter cloacae	emmdR	1.0	121.625	0.866
Enterobacter cloacae	emrA	1.0	121.625	0.952
Enterobacter cloacae	emrB	1.0	121.625	0.842
Enterobacter cloacae	emrD	1.0	121.625	1.222
Enterobacter cloacae	eptA	1.0	121.625	0.651
Enterobacter cloacae	eptB	1.0	121.625	1.111
Enterobacter cloacae	fosA	1.0	121.625	0.852
Enterobacter cloacae	fsr	1.0	121.625	0.678
Enterobacter cloacae	macA	1.0	121.625	0.74
Enterobacter cloacae	macB	1.0	121.625	0.729
Enterobacter cloacae	mdfA	1.0	121.625	0.777
Enterobacter cloacae	mdtC	1.0	121.625	0.737
Enterobacter cloacae	mdtG	1.0	121.625	0.903
Enterobacter cloacae	mdtH	1.0	121.625	0.585
Enterobacter cloacae	mdtI	1.0	121.625	0.665
Enterobacter cloacae	mdtJ	1.0	121.625	0.719
Enterobacter cloacae	mdtK	1.0	121.625	0.528
Enterobacter cloacae	mdtQ	1.0	121.625	0.765
Enterobacter cloacae	oqxA	1.0	121.625	0.658
Enterobacter cloacae	oqxB	1.0	121.625	0.755
Enterobacter cloacae	smdA	1.0	121.625	0.663
Enterobacter cloacae	smdB	1.0	121.625	0.252
Enterobacter cloacae	sugE	1.0	121.625	1.047
Enterobacter cloacae	sul2	1.0	121.625	0.752
Enterobacter cloacae	tolC	1.0	121.625	0.92
Enterobacter cloacae	ugd	1.0	121.625	0.841
Enterobacter cloacae	yojI	1.0	121.625	0.68
Enterococcus faecalis	aph(2'')-I	1.0	172.0	4.256
Enterococcus faecalis	bacA	1.0	172.0	0.916
Enterococcus faecalis	dltA	1.0	172.0	0.955
Enterococcus faecalis	dltB	1.0	172.0	0.947
Enterococcus faecalis	dltC	1.0	172.0	0.886
Enterococcus faecalis	dltD	1.0	172.0	0.891
Enterococcus faecalis	efrA	1.0	172.0	1.285
Enterococcus faecalis	efrB	1.0	172.0	1.222
Enterococcus faecalis	efrC	1.0	172.0	0.972
Enterococcus faecalis	efrD	1.0	172.0	0.946
Enterococcus faecalis	efrE	1.0	172.0	0.946
Enterococcus faecalis	efrF	1.0	172.0	0.927
Enterococcus faecalis	emeA	1.0	172.0	0.868
Enterococcus faecalis	erm(B)	1.0	172.0	2.524
Enterococcus faecalis	lsa(A)	1.0	172.0	0.85
Enterococcus faecalis	mprF	2.0	172.0	2.068
Enterococcus faecalis	qacH	1.0	172.0	2.586
Enterococcus faecalis	vanB	1.0	172.0	0.779
Enterococcus faecalis	vanH	1.0	172.0	0.79
Enterococcus faecalis	vanX	1.0	172.0	0.763
Escherichia coli	acrA	1.0	53.875	0.689
Escherichia coli	acrB	1.0	53.875	0.972
Escherichia coli	acrD	1.0	53.875	0.829
Escherichia coli	acrE	1.0	53.875	1.775
Escherichia coli	acrF	1.0	53.875	2.221
Escherichia coli	arnA	1.0	53.875	1.25
Escherichia coli	arnB	1.0	53.875	1.363
Escherichia coli	arnC	1.0	53.875	1.167
Escherichia coli	arnD	1.0	53.875	1.313
Escherichia coli	arnE	1.0	53.875	1.141
Escherichia coli	arnF	1.0	53.875	1.069
Escherichia coli	arnT	1.0	53.875	1.215
Escherichia coli	bacA	2.0	53.875	1.897
Escherichia coli	bcr	1.0	53.875	1.81
Escherichia coli	blaEC	1.0	53.875	0.986
Escherichia coli	cbrA	1.0	53.875	0.953
Escherichia coli	dinF	1.0	53.875	0.997
Escherichia coli	emrA	1.0	53.875	1.652
Escherichia coli	emrB	1.0	53.875	0.956
Escherichia coli	emrD	1.0	53.875	1.068
Escherichia coli	emrE	1.0	53.875	1.139
Escherichia coli	emrK	1.0	53.875	1.409
Escherichia coli	emrY	1.0	53.875	1.323
Escherichia coli	eptA	1.0	53.875	1.145
Escherichia coli	eptB	1.0	53.875	1.137
Escherichia coli	fsr	1.0	53.875	1.07
Escherichia coli	macA	1.0	53.875	0.935
Escherichia coli	macB	1.0	53.875	0.761
Escherichia coli	mdfA	1.0	53.875	0.988
Escherichia coli	mdtA	1.0	53.875	0.904
Escherichia coli	mdtB	1.0	53.875	0.722
Escherichia coli	mdtC	1.0	53.875	0.893
Escherichia coli	mdtE	1.0	53.875	1.206
Escherichia coli	mdtF	1.0	53.875	1.058
Escherichia coli	mdtG	1.0	53.875	1.096
Escherichia coli	mdtH	1.0	53.875	1.018
Escherichia coli	mdtI	1.0	53.875	1.107
Escherichia coli	mdtJ	1.0	53.875	1.166
Escherichia coli	mdtK	1.0	53.875	1.08
Escherichia coli	mdtL	1.0	53.875	1.174
Escherichia coli	mdtM	1.0	53.875	1.048
Escherichia coli	mdtO	1.0	53.875	1.154
Escherichia coli	mdtP	1.0	53.875	0.865
Escherichia coli	mdtQ	1.0	53.875	1.312
Escherichia coli	smdA	1.0	53.875	0.965
Escherichia coli	sugE	1.0	53.875	0.879
Escherichia coli	tolC	1.0	53.875	0.865
Escherichia coli	ugd	1.0	53.875	1.25
Escherichia coli	yojI	1.0	53.875	1.022
Fusobacterium nucleatum	bacA	1.0	80.0	1.507
Helicobacter pylori	hefA	1.0	150.875	1.126
Helicobacter pylori	hefB	1.0	150.875	1.133
Helicobacter pylori	hefC	1.0	150.875	1.175
Helicobacter pylori	lpxE	1.0	150.875	1.0
Helicobacter pylori	lpxF	1.0	150.875	1.448
Lactiplantibacillus plantarum	bacA	1.0	660.0	1.526
Lactiplantibacillus plantarum	dltA	1.0	660.0	0.925
Lactiplantibacillus plantarum	dltB	1.0	660.0	0.914
Lactiplantibacillus plantarum	dltC	2.0	660.0	1.811
Lactiplantibacillus plantarum	dltD	1.0	660.0	0.878
Lactiplantibacillus plantarum	mprF	1.0	660.0	1.324
Phocaeicola vulgatus	bla*	1.0	199.375	1.015
Salmonella enterica	aac(6')-I	1.0	101.5	0.772
Salmonella enterica	acrA	1.0	101.5	0.819
Salmonella enterica	acrB	1.0	101.5	0.982
Salmonella enterica	acrD	1.0	101.5	0.886
Salmonella enterica	arnA	1.0	101.5	0.912
Salmonella enterica	arnB	1.0	101.5	0.913
Salmonella enterica	arnC	1.0	101.5	0.909
Salmonella enterica	arnD	1.0	101.5	0.779
Salmonella enterica	arnE	1.0	101.5	0.838
Salmonella enterica	arnF	1.0	101.5	0.812
Salmonella enterica	arnT	1.0	101.5	0.836
Salmonella enterica	bacA	2.0	101.5	1.694
Salmonella enterica	bcr	1.0	101.5	0.957
Salmonella enterica	dinF	1.0	101.5	0.867
Salmonella enterica	emrA	1.0	101.5	1.075
Salmonella enterica	emrB	1.0	101.5	0.859
Salmonella enterica	emrD	1.0	101.5	1.065
Salmonella enterica	eptA	1.0	101.5	0.952
Salmonella enterica	eptB	1.0	101.5	0.853
Salmonella enterica	fsr	1.0	101.5	0.825
Salmonella enterica	macA	1.0	101.5	0.863
Salmonella enterica	macB	1.0	101.5	0.791
Salmonella enterica	mdfA	1.0	101.5	0.798
Salmonella enterica	mdtA	1.0	101.5	0.708
Salmonella enterica	mdtB	1.0	101.5	0.607
Salmonella enterica	mdtC	1.0	101.5	0.724
Salmonella enterica	mdtG	1.0	101.5	0.912
Salmonella enterica	mdtH	1.0	101.5	0.706
Salmonella enterica	mdtI	1.0	101.5	0.637
Salmonella enterica	mdtJ	1.0	101.5	0.683
Salmonella enterica	mdtK	1.0	101.5	0.836
Salmonella enterica	mdtL	1.0	101.5	1.064
Salmonella enterica	mdtM	1.0	101.5	0.965
Salmonella enterica	mdtQ	1.0	101.5	0.991
